Informações do equipamento,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,ID do Transformador,gas,x,Fabricante,Ano de Fabricação,Potência KVA,Tensão KV,Volume de Óleo,Data de Amostragem,Condição de Operação
TR01,WEG,2016,25000,138,12870,2026-02-06 00:00:00,Normal,TR01,Hidrogênio,66.0,,,,,,,
,,,,,,2025-07-30 00:00:00,Normal,TR01,Hidrogênio,190.0,,,,,,,
,,,,,,2024-12-31 00:00:00,Normal,TR01,Hidrogênio,12.0,,,,,,,
,,,,,,2024-06-28 00:00:00,Normal,TR01,Hidrogênio,6.0,,,,,,,
,,,,,,2023-02-14 00:00:00,Normal,TR01,Hidrogênio,9.0,,,,,,,
,,,,,,2022-07-01 00:00:00,Normal,TR01,Hidrogênio,7.0,,,,,,,
,,,,,,2021-07-25 00:00:00,Normal,TR01,Hidrogênio,24.0,,,,,,,
,,,,,,2020-08-31 00:00:00,Normal,TR01,Hidrogênio,0.0,,,,,,,
,,,,,,2019-12-13 00:00:00,Normal,TR01,Hidrogênio,97.0,,,,,,,
,,,,,,2019-04-03 00:00:00,Normal,TR01,Hidrogênio,0.0,,,,,,,
,,,,,,2018-09-19 00:00:00,Normal,TR01,Hidrogênio,25.0,,,,,,,
,,,,,,2018-03-15 00:00:00,Normal,TR01,Hidrogênio,7.0,,,,,,,
,,,,,,2017-08-02 00:00:00,Normal,TR01,Hidrogênio,7.0,,,,,,,
TR01,WEG,2016,25000,138,12870,2026-02-06 00:00:00,Normal,TR01,Monóxido de Carbono,362.0,,,,,,,
,,,,,,2025-07-30 00:00:00,Normal,TR01,Monóxido de Carbono,316.0,,,,,,,
,,,,,,2024-12-31 00:00:00,Normal,TR01,Monóxido de Carbono,328.0,,,,,,,
,,,,,,2024-06-28 00:00:00,Normal,TR01,Monóxido de Carbono,369.0,,,,,,,
,,,,,,2023-02-14 00:00:00,Normal,TR01,Monóxido de Carbono,265.0,,,,,,,
,,,,,,2022-07-01 00:00:00,Normal,TR01,Monóxido de Carbono,247.0,,,,,,,
